Date,IBM
05/04/2016,140.519623
06/04/2016,140.538391
07/04/2016,138.880249
08/04/2016,139.910721
11/04/2016,139.817017
12/04/2016,140.173004
13/04/2016,141.67189
14/04/2016,141.606323
15/04/2016,142.130936
18/04/2016,142.88974
19/04/2016,134.898865
20/04/2016,136.875473
21/04/2016,139.863861
22/04/2016,139.114456
25/04/2016,139.404846
26/04/2016,139.657806
27/04/2016,140.95993
28/04/2016,137.774811
29/04/2016,136.716232
02/05/2016,136.088593
03/05/2016,135.020645
04/05/2016,135.133057
05/05/2016,137.212753
06/05/2016,139.3125
09/05/2016,139.359802
10/05/2016,141.847321
11/05/2016,140.882584
12/05/2016,140.778564
13/05/2016,139.719238
16/05/2016,141.36496
17/05/2016,139.984039
18/05/2016,139.359802
19/05/2016,137.080307
20/05/2016,139.274673
23/05/2016,138.820679
24/05/2016,140.277252
25/05/2016,143.474197
26/05/2016,144.183578
27/05/2016,144.56189
31/05/2016,145.413177
01/06/2016,144.249771
02/06/2016,145.186142
03/06/2016,144.609207
06/06/2016,144.45784
07/06/2016,145.025391
08/06/2016,145.659088
09/06/2016,145.110474
10/06/2016,144.117355
13/06/2016,143.086395
14/06/2016,142.878326
15/06/2016,142.51889
16/06/2016,142.878326
17/06/2016,143.75795
20/06/2016,145.290207
21/06/2016,145.70639
22/06/2016,144.637573
23/06/2016,146.935959
24/06/2016,138.650421
27/06/2016,135.727768
28/06/2016,137.808609
29/06/2016,140.419144
30/06/2016,143.559326
01/07/2016,144.09845
05/07/2016,143.464722
06/07/2016,144.117355
07/07/2016,144.334915
08/07/2016,146.094177
11/07/2016,146.917053
12/07/2016,148.534424
13/07/2016,149.461365
14/07/2016,151.598953
15/07/2016,151.126007
18/07/2016,151.201675
19/07/2016,150.936859
20/07/2016,152.620468
21/07/2016,151.759705
22/07/2016,153.292007
25/07/2016,153.840561
26/07/2016,153.339279
27/07/2016,153.064972
28/07/2016,152.629898
29/07/2016,151.920517
01/08/2016,152.705566
02/08/2016,151.882706
03/08/2016,151.967819
04/08/2016,152.800171
05/08/2016,154.644562
08/08/2016,154.58728
09/08/2016,154.329727
10/08/2016,154.625473
11/08/2016,156.008774
12/08/2016,154.501434
15/08/2016,154.434647
16/08/2016,153.308945
17/08/2016,153.060883
18/08/2016,153.938568
19/08/2016,152.679276
22/08/2016,152.641129
23/08/2016,152.88916
24/08/2016,151.734833
25/08/2016,151.334137
26/08/2016,151.038406
29/08/2016,152.374008
30/08/2016,152.06871
31/08/2016,151.572632
01/09/2016,152.202271
02/09/2016,152.211823
06/09/2016,152.975021
07/09/2016,154.205704
08/09/2016,151.687119
09/09/2016,148.529358
12/09/2016,151.009781
13/09/2016,148.643814
14/09/2016,146.964767
15/09/2016,148.500732
16/09/2016,146.76445
19/09/2016,147.747055
20/09/2016,147.346375
21/09/2016,148.376709
22/09/2016,148.930038
23/09/2016,147.852005
26/09/2016,146.897995
27/09/2016,149.559677
28/09/2016,151.009781
29/09/2016,150.838058
30/09/2016,151.544022
03/10/2016,150.361038
04/10/2016,149.263947
05/10/2016,149.855423
06/10/2016,149.664612
07/10/2016,148.510269
10/10/2016,149.798187
11/10/2016,147.670746
12/10/2016,147.193726
13/10/2016,146.649963
14/10/2016,147.346375
17/10/2016,147.651657
18/10/2016,143.787933
19/10/2016,144.303116
20/10/2016,144.551132
21/10/2016,142.748062
24/10/2016,143.644836
25/10/2016,143.940567
26/10/2016,144.827805
27/10/2016,146.296997
28/10/2016,145.591003
31/10/2016,146.621353
01/11/2016,145.762726
02/11/2016,144.961365
03/11/2016,145.362045
04/11/2016,145.419266
07/11/2016,148.557968
08/11/2016,149.376236
09/11/2016,149.029663
10/11/2016,154.237671
11/11/2016,155.248459
14/11/2016,152.302719
15/11/2016,152.74556
16/11/2016,153.342392
17/11/2016,153.833359
18/11/2016,154.401321
21/11/2016,156.692459
22/11/2016,156.596191
23/11/2016,155.931946
25/11/2016,157.048645
28/11/2016,158.377121
29/11/2016,157.424088
30/11/2016,156.16301
01/12/2016,153.852615
02/12/2016,154.045151
05/12/2016,153.871857
06/12/2016,154.362823
07/12/2016,158.637024
08/12/2016,159.18576
09/12/2016,160.302444
12/12/2016,159.320541
13/12/2016,162.006348
14/12/2016,162.21814
15/12/2016,161.746445
16/12/2016,160.504593
19/12/2016,160.456467
20/12/2016,161.342133
21/12/2016,161.082199
22/12/2016,160.822266
23/12/2016,160.485352
27/12/2016,160.899277
28/12/2016,159.984772
29/12/2016,160.379471
30/12/2016,159.792236
03/01/2017,160.947433
04/01/2017,162.940125
05/01/2017,162.401047
06/01/2017,163.200043
09/01/2017,161.390244
10/01/2017,159.339783
11/01/2017,161.486526
12/01/2017,161.679047
13/01/2017,161.091812
17/01/2017,161.621277
18/01/2017,160.571991
19/01/2017,160.581635
20/01/2017,164.181976
23/01/2017,164.644043
24/01/2017,169.332199
25/01/2017,171.632965
26/01/2017,171.989151
27/01/2017,170.679947
30/01/2017,169.235931
31/01/2017,168.003754
01/02/2017,167.782318
02/02/2017,168.061508
03/02/2017,169.255219
06/02/2017,169.293716
07/02/2017,171.796616
08/02/2017,170.933075
09/02/2017,171.942184
10/02/2017,173.368454
13/02/2017,174.028259
14/02/2017,174.775375
15/02/2017,176.279282
16/02/2017,176.036728
17/02/2017,175.299316
21/02/2017,174.901489
22/02/2017,175.765045
23/02/2017,176.250183
24/02/2017,175.959091
27/02/2017,174.067078
28/02/2017,174.474594
01/03/2017,176.54126
02/03/2017,175.163483
03/03/2017,174.697739
06/03/2017,175.105255
07/03/2017,175.017944
08/03/2017,174.115585
09/03/2017,171.913055
10/03/2017,172.543747
13/03/2017,171.214478
14/03/2017,170.496475
15/03/2017,170.583801
16/03/2017,171.971283
17/03/2017,170.428528
20/03/2017,170.477051
21/03/2017,168.711151
22/03/2017,169.584396
23/03/2017,169.623215
24/03/2017,168.662643
27/03/2017,168.604431
28/03/2017,169.322433
29/03/2017,168.769363
30/03/2017,168.691757
31/03/2017,168.96344
03/04/2017,169.312714
04/04/2017,169.332138
05/04/2017,167.740891
06/04/2017,167.323669
07/04/2017,167.022888
10/04/2017,166.11084
11/04/2017,165.509262
12/04/2017,165.586884
13/04/2017,164.490463
17/04/2017,166.013809
18/04/2017,164.995026
19/04/2017,156.88353
20/04/2017,157.475388
21/04/2017,155.612488
24/04/2017,155.971466
25/04/2017,155.622162
26/04/2017,155.301971
27/04/2017,155.55426
28/04/2017,155.525146
01/05/2017,154.11824
02/05/2017,154.370514
03/05/2017,153.91449
04/05/2017,154.322006
05/05/2017,150.440903
08/05/2017,149.931442
09/05/2017,149.03006
10/05/2017,148.187469
11/05/2017,147.599625
12/05/2017,147.325287
15/05/2017,148.4422
16/05/2017,150.568268
17/05/2017,147.873962
18/05/2017,147.72699
19/05/2017,148.902695
22/05/2017,149.549332
23/05/2017,148.951691
24/05/2017,149.421967
25/05/2017,150.097992
26/05/2017,149.40239
30/05/2017,148.657761
31/05/2017,149.539551
01/06/2017,149.57872
02/06/2017,148.971283
05/06/2017,149.324005
06/06/2017,149.284805
07/06/2017,147.922943
08/06/2017,149.020279
09/06/2017,150.979782
12/06/2017,152.037903
13/06/2017,151.12674
14/06/2017,150.695633
15/06/2017,151.097336
16/06/2017,152.233871
19/06/2017,151.704788
20/06/2017,151.812561
21/06/2017,150.676041
22/06/2017,151.273697
23/06/2017,150.989578
26/06/2017,152.086884
27/06/2017,151.616608
28/06/2017,152.175079
29/06/2017,151.009171
30/06/2017,150.715256
03/07/2017,152.42981
05/07/2017,150.558472
06/07/2017,149.275009
07/07/2017,149.843262
10/07/2017,150.313553
11/07/2017,150.088196
12/07/2017,150.587875
13/07/2017,150.519302
14/07/2017,151.116943
17/07/2017,149.911835
18/07/2017,150.88179
19/07/2017,144.542801
20/07/2017,144.670166
21/07/2017,144.101929
24/07/2017,143.033981
25/07/2017,143.229935
26/07/2017,142.416733
27/07/2017,142.132629
28/07/2017,141.368393
31/07/2017,141.740707
01/08/2017,142.357956
02/08/2017,141.525177
03/08/2017,142.005249
04/08/2017,142.220795
07/08/2017,140.565002
08/08/2017,140.703629
09/08/2017,140.366989
10/08/2017,140.436295
11/08/2017,140.436295
14/08/2017,140.911545
15/08/2017,140.664032
16/08/2017,141.089767
17/08/2017,139.307571
18/08/2017,138.317474
21/08/2017,138.941238
22/08/2017,139.614502
23/08/2017,140.733322
24/08/2017,141.525406
25/08/2017,142.31749
28/08/2017,141.099655
29/08/2017,141.723434
30/08/2017,141.14917
31/08/2017,141.614517
01/09/2017,142.654129
05/09/2017,141.62442
06/09/2017,142.396713
07/09/2017,141.485794
08/09/2017,141.040253
11/09/2017,143.426407
12/09/2017,144.31749
13/09/2017,144.545227
14/09/2017,144.09967
15/09/2017,143.38681
